dataset,cluster_method,R,num_clusters,num_deli_nodes,milp_obj,milp_mip_gap,milp_runtime,avg_cluster_size,avg_cluster_cost,total_cost,total_runtime
Shanghai,p_median,4.0,9.0,76.0,1391.2512176109387,0.10467023513862306,149.13900017738342,3480.0,9.357777777777777,1475.4712176109388,168.3528516292572
Shanghai,p_median,4.0,10.0,67.0,1381.8744139807336,0.09544294801961144,87.3769998550415,3747.0,10.267999999999997,1484.5544139807337,102.57951951026917
Shanghai,p_median,5.0,5.0,79.0,1392.459013034182,0.10461069775322883,196.19899988174438,5764.0,12.492,1454.919013034182,215.99674034118652
Shanghai,p_median,5.0,6.0,81.0,1370.6150726507142,0.10345312984386369,185.5329999923706,4796.666666666667,11.793333333333335,1441.3750726507142,208.7984893321991
Shanghai,p_median,5.0,7.0,68.0,1399.2586642498447,0.0978914765611461,715.2070000171661,4921.428571428572,11.371428571428572,1478.8586642498447,730.9971973896027
Shanghai,p_median,5.0,8.0,62.0,1430.4198057426972,0.10483481029613517,282.58200001716614,4723.75,11.035,1518.6998057426972,296.7610778808594
Shanghai,p_median,5.0,9.0,61.0,1403.1288065034182,0.10447216908295728,124.79099988937378,4362.222222222223,10.731111111111112,1499.7088065034181,138.48154306411743
Shanghai,p_median,5.0,10.0,54.0,1405.4613423250466,0.10434027171963188,72.31599998474121,4276.0,10.835999999999999,1513.8213423250465,84.68284773826599
Shanghai,p_median,6.0,5.0,68.0,1395.9504547029212,0.10400753187139695,182.55999994277954,7104.0,15.068000000000003,1471.2904547029211,202.20698714256287
Shanghai,p_median,6.0,6.0,67.0,1403.896203752642,0.100564380148368,293.6010000705719,6131.666666666667,13.909999999999998,1487.356203752642,312.3299207687378
Shanghai,p_median,6.0,7.0,60.0,1387.249927279677,0.10349218662425971,98.75999999046326,5551.428571428572,12.534285714285716,1474.989927279677,111.9777991771698
Shanghai,p_median,6.0,8.0,54.0,1359.4028149906778,0.09591115042306575,62.817999839782715,5271.25,11.9575,1455.062814990678,74.27664351463318
Shanghai,p_median,6.0,9.0,51.0,1328.6135360559356,0.09820080641774527,35.55199980735779,4957.777777777777,11.571111111111112,1432.7535360559357,45.637978315353394
Shanghai,p_median,6.0,10.0,41.0,1346.2728471336238,0.1012565237897552,17.463000059127808,4936.0,11.788,1464.1528471336237,27.828590154647827
Shanghai,p_median,7.0,5.0,56.0,1377.0215664027348,0.10170350130212061,77.07000017166138,8114.0,17.036,1462.201566402735,93.31545996665955
Shanghai,p_median,7.0,6.0,53.0,1366.118757984462,0.10378760003920014,55.473000049591064,7300.0,15.403333333333336,1458.538757984462,69.99460196495056
Shanghai,p_median,7.0,7.0,44.0,1311.645498601616,0.09141810903493724,70.78400015830994,6742.857142857143,14.677142857142858,1414.385498601616,82.13633179664612
Shanghai,p_median,7.0,8.0,39.0,1293.8698991093843,0.10020205820711195,19.052000045776367,6187.5,13.455,1401.5098991093844,29.145517110824585
Shanghai,p_median,7.0,9.0,35.0,1303.4477190006216,0.08325375458367426,17.633000135421753,5765.555555555556,12.94222222222222,1419.9277190006217,26.044984102249146
Shanghai,p_median,7.0,10.0,28.0,1400.1004076096954,0.10298801937340017,8.70799994468689,5439.0,12.405999999999999,1524.1604076096953,14.91793441772461
Shanghai,p_median,8.0,5.0,50.0,1385.212334946855,0.09868749949756497,44.84499979019165,8734.0,18.276,1476.5923349468549,58.748838663101196
Shanghai,p_median,8.0,6.0,46.0,1353.244134400249,0.0915902591293915,88.68400001525879,7681.666666666667,16.13,1450.024134400249,100.24229431152344
Shanghai,p_median,8.0,7.0,37.0,1324.248614131759,0.07314231463640664,24.615000009536743,7084.285714285715,15.265714285714283,1431.108614131759,33.2450110912323
Shanghai,p_median,8.0,8.0,31.0,1348.2453598775637,0.10407567873261282,11.211999893188477,6582.5,14.162499999999998,1461.5453598775637,19.815314054489136
Shanghai,p_median,8.0,9.0,26.0,1347.6871210926038,0.09740050848783655,6.123000144958496,6154.444444444444,13.559999999999999,1469.7271210926037,11.682795524597168
Shanghai,p_median,8.0,10.0,20.0,1340.1665895866997,0.08722503401851753,1.2179999351501465,5783.0,12.95,1469.6665895866997,5.579019069671631
Shanghai,kmedoids,4.0,5.0,101.0,1425.6253578471099,0.1047864438469005,1591.1240000724792,3262.0,9.38,1472.52535784711,1617.6708619594574
Shanghai,kmedoids,4.0,6.0,97.0,1421.1734025413302,0.09845208486650897,1099.5560002326965,3095.0,9.200000000000001,1476.3734025413303,1123.1648480892181
Shanghai,kmedoids,4.0,7.0,94.0,1429.0396232057178,0.09924155602987217,1390.3109998703003,2891.4285714285716,9.071428571428571,1492.5396232057178,1411.098697900772
Shanghai,kmedoids,4.0,8.0,87.0,1413.54643178496,0.094625363834047,532.7410001754761,3076.25,8.975,1485.34643178496,560.6686024665833
Shanghai,kmedoids,4.0,9.0,81.0,1391.390322402113,0.0968452895409838,177.09099984169006,3157.777777777778,9.255555555555555,1474.690322402113,195.23411417007446
Shanghai,kmedoids,4.0,10.0,76.0,1380.9448474854532,0.09881252446723186,191.13900017738342,3090.0,9.16,1472.5448474854531,205.91553592681885
Shanghai,kmedoids,5.0,5.0,84.0,1403.7620582517093,0.10383791571700532,328.885999917984,5232.0,12.248000000000001,1465.0020582517093,363.63187646865845
Shanghai,kmedoids,5.0,6.0,81.0,1392.565253139217,0.10455208483506732,264.8619999885559,4635.0,11.590000000000002,1462.105253139217,287.0376572608948
Shanghai,kmedoids,5.0,7.0,78.0,1396.920654773773,0.10483605837717867,234.2960000038147,4211.428571428572,11.120000000000001,1474.760654773773,254.74570274353027
Shanghai,kmedoids,5.0,8.0,70.0,1428.3436679577376,0.10329349237142238,227.59100008010864,4288.75,10.7675,1514.4836679577377,244.22359323501587
Shanghai,kmedoids,5.0,9.0,64.0,1389.9280896712246,0.09121862372344638,225.2039999961853,4063.3333333333335,10.475555555555554,1484.2080896712246,243.9810276031494
Shanghai,kmedoids,5.0,10.0,58.0,1370.5635884356743,0.07661914429299767,99.16700005531311,3931.0,10.258,1473.1435884356742,119.39736032485962
Shanghai,kmedoids,6.0,5.0,68.0,1355.8260936165318,0.08889083924016326,347.03200006484985,6772.0,14.815999999999999,1429.9060936165317,369.08065605163574
Shanghai,kmedoids,6.0,6.0,64.0,1364.7636973592294,0.09647683663315021,327.664999961853,5930.0,13.696666666666665,1446.9436973592294,347.7175154685974
Shanghai,kmedoids,6.0,7.0,62.0,1403.6436099627103,0.10000928813123447,148.0589997768402,5311.428571428572,12.925714285714283,1494.1236099627104,169.75811409950256
Shanghai,kmedoids,6.0,8.0,53.0,1403.2401390416412,0.10087600081462798,88.45500016212463,5275.0,12.347499999999998,1502.0201390416412,102.50649356842041
Shanghai,kmedoids,6.0,9.0,43.0,1403.7248647128654,0.10359275098544328,35.019999980926514,5173.333333333333,11.977777777777778,1511.5248647128653,44.125720500946045
Shanghai,kmedoids,6.0,10.0,37.0,1383.837753517091,0.08613240226667886,12.79200005531311,4919.0,11.565999999999999,1499.497753517091,19.46362853050232
Shanghai,kmedoids,7.0,5.0,59.0,1398.5639960503415,0.10392757843718635,86.08400011062622,7654.0,16.484,1480.9839960503416,102.06190729141235
Shanghai,kmedoids,7.0,6.0,55.0,1350.4919092535738,0.09447615601828488,141.49699997901917,6650.0,14.933333333333335,1440.0919092535737,155.41890382766724
Shanghai,kmedoids,7.0,7.0,53.0,1357.996789066501,0.09147860111809734,80.83100008964539,5941.428571428572,13.768571428571429,1454.3767890665008,94.67056894302368
Shanghai,kmedoids,7.0,8.0,44.0,1380.1638138949652,0.09773863579078808,30.490000009536743,5791.25,13.084999999999999,1484.8438138949653,40.44151735305786
Shanghai,kmedoids,7.0,9.0,34.0,1361.894630742697,0.07937822925651997,12.91599988937378,5674.444444444444,12.717777777777776,1476.354630742697,18.527533531188965
Shanghai,kmedoids,7.0,10.0,25.0,1439.7959231746424,0.083828062060681,4.08299994468689,5541.0,12.378,1563.5759231746424,7.6135430335998535
Shanghai,kmedoids,8.0,5.0,43.0,1286.5668253113731,0.10122464878934055,29.175999879837036,9114.0,18.624,1379.686825311373,38.159889936447144
Shanghai,kmedoids,8.0,6.0,42.0,1364.0140024319453,0.10010353220240686,63.182000160217285,7743.333333333333,16.296666666666663,1461.7940024319453,71.70012021064758
Shanghai,kmedoids,8.0,7.0,44.0,1346.7363541435675,0.08562616345728262,53.812999963760376,6600.0,14.937142857142856,1451.2963541435674,63.578726291656494
Shanghai,kmedoids,8.0,8.0,34.0,1376.9508857060282,0.0957167469166588,14.214999914169312,6400.0,14.107499999999998,1489.810885706028,20.358884572982788
Shanghai,kmedoids,8.0,9.0,27.0,1405.1450959651959,0.0748961832553816,6.889999866485596,6078.888888888889,13.353333333333332,1525.325095965196,10.551310300827026
Shanghai,kmedoids,8.0,10.0,22.0,1337.9663125052825,0.04165595538725488,2.0189998149871826,5640.0,12.524,1463.2063125052825,4.917941570281982
Shanghai,SOM,4.0,6.0,99.0,1430.1020572573025,0.11078068127454511,1800.3940000534058,2978.3333333333335,9.26,1485.6620572573024,1839.004475593567
Shanghai,SOM,4.0,7.0,95.0,1400.4172866830324,0.09746327126736157,1778.0429999828339,2957.1428571428573,9.525714285714285,1467.0972866830325,1813.0562462806702
Shanghai,SOM,4.0,8.0,85.0,1369.6170467837173,0.10235765232462421,283.31699991226196,3380.0,10.485,1453.4970467837175,311.39804553985596
Shanghai,SOM,4.0,9.0,89.0,1384.9969756625228,0.09639755611598197,506.3770000934601,2931.1111111111113,10.139999999999999,1476.2569756625228,535.5464510917664
Shanghai,SOM,4.0,10.0,76.0,1367.1226887980124,0.09832273509218058,283.0680000782013,3351.0,10.035999999999998,1467.4826887980123,307.9356243610382
Shanghai,SOM,5.0,5.0,96.0,1407.8351262865135,0.10484745857211697,644.0230000019073,3958.0,11.596,1465.8151262865135,678.6129739284515
Shanghai,SOM,5.0,6.0,86.0,1395.1406553499642,0.10481935958494859,625.9179999828339,4010.0,10.773333333333333,1459.7806553499643,657.3906817436218
Shanghai,SOM,5.0,7.0,78.0,1332.0349422007455,0.08099396251368646,204.14400005340576,4095.714285714286,11.054285714285713,1409.4149422007454,241.6107771396637
Shanghai,SOM,5.0,8.0,70.0,1347.0503473151023,0.09918237682153669,173.010999917984,4223.75,11.6625,1440.3503473151022,193.7662193775177
Shanghai,SOM,5.0,9.0,70.0,1387.8912722983214,0.10473634272594677,172.6449999809265,3982.222222222222,11.275555555555554,1489.3712722983214,196.21080541610718
Shanghai,SOM,5.0,10.0,56.0,1405.2474089223117,0.100538943315765,103.89600014686584,4176.0,10.91,1514.3474089223116,119.02267122268677
Shanghai,SOM,6.0,5.0,72.0,1367.8552845295203,0.10380509136665045,436.5079998970032,6386.0,14.428000000000003,1439.9952845295204,470.527907371521
Shanghai,SOM,6.0,6.0,72.0,1348.4303830534498,0.10145596889523172,153.74599981307983,4923.333333333333,12.076666666666666,1420.8903830534498,179.21085238456726
Shanghai,SOM,6.0,7.0,59.0,1343.9105851578624,0.09385320517775338,63.29299998283386,5180.0,12.065714285714288,1428.3705851578625,81.64732313156128
Shanghai,SOM,6.0,8.0,49.0,1301.2227979564943,0.09276484481279668,25.004000186920166,5515.0,13.3875,1408.3227979564942,39.119415044784546
Shanghai,SOM,6.0,9.0,49.0,1312.5920834965818,0.06329455867503488,49.80400013923645,4852.222222222223,12.073333333333332,1421.252083496582,66.67941856384277
Shanghai,SOM,6.0,10.0,40.0,1382.07480663207,0.09114069840277016,17.30299997329712,4855.0,11.78,1499.87480663207,28.388885498046875
Shanghai,SOM,7.0,5.0,63.0,1327.1148062262278,0.10437921163784133,291.70099997520447,7144.0,15.508000000000001,1404.6548062262277,316.98332381248474
Shanghai,SOM,7.0,6.0,50.0,1354.1679168620265,0.10200963280156844,59.29900002479553,6845.0,15.373333333333333,1446.4079168620265,77.64807510375977
Shanghai,SOM,7.0,7.0,42.0,1347.0118098290864,0.10048040076854892,18.621000051498413,6522.857142857143,14.171428571428573,1446.2118098290864,32.686914682388306
Shanghai,SOM,7.0,8.0,42.0,1292.6460423225603,0.0760762762576323,36.42799997329712,5825.0,13.7225,1402.4260423225603,51.122761964797974
Shanghai,SOM,7.0,9.0,31.0,1291.4398559944068,0.08351702933998438,7.235999822616577,5722.222222222223,12.94,1407.8998559944068,20.732863426208496
Shanghai,SOM,7.0,10.0,29.0,1338.6931273293972,0.08037285913122957,3.3399999141693115,5341.0,12.334,1462.033127329397,12.211346864700317
Shanghai,SOM,8.0,5.0,49.0,1270.5098588626481,0.1002174507883935,148.981999874115,8408.0,17.212,1356.569858862648,167.29252362251282
Shanghai,SOM,8.0,6.0,36.0,1340.0882787750154,0.10385205308820661,18.042999982833862,7833.333333333333,16.343333333333334,1438.1482787750153,31.816235303878784
Shanghai,SOM,8.0,7.0,30.0,1291.3454701634557,0.10025765456132242,4.400000095367432,7358.571428571428,15.085714285714287,1396.9454701634556,14.886120080947876
Shanghai,SOM,8.0,8.0,27.0,1341.8146671106276,0.09931603499188271,4.058000087738037,6686.25,14.275,1456.0146671106277,14.096696138381958
Shanghai,SOM,8.0,9.0,20.0,1281.9101063965195,0.06569920612141396,1.7020001411437988,6308.888888888889,13.44,1402.8701063965195,9.611960411071777
Shanghai,SOM,8.0,10.0,23.0,1321.905382493474,0.05055906854349029,1.99399995803833,5546.0,12.501999999999999,1446.925382493474,12.927717447280884
